,Importance (%)
Stopped_personal_visitation_in_state_prisons,8.013021541847154
State_of_emergency_issued,6.563644186746425
SNAP_Waiver_._Emergency_Allotments_to_Current_SNAP_Households,5.398739521098743
Date_closed_K.12_public_schools,5.3411392800351605
Closed_Bars,4.523039018623043
Modify_Medicaid_requirements_with_1135_waivers_.date_of_CMS_approval.,3.951363277138477
Closed_gyms,3.703255761673178
Closed_restaurants_except_take_out,3.6156714464388457
Closed_other_non.essential_businesses,3.4774516043911463
Allow.expand_Medicaid_telehealth_coverage,3.2483973921869183
Closed_movie_theaters,3.1265056215440303
Variant...B.1.617.2,2.4714068712884925
metrics.testPositivityRatio,1.9196085737196056
Variant...Other,1.8623348731447806
Variant...AY.3,1.671791596661753
Date_general_public_became_eligible_for_COVID.19_vaccination,1.5765043083478198
Date_adults_ages_30._became_eligible_for_COVID.19_vaccination,1.5728802845622354
Allowed_restaurants_to_sell_takeout_alcohol,1.5665338329358593
Variant...BA.1.1,1.5598812993340416
Date_adults_ages_80._became_eligible_for_COVID.19_vaccination,1.4171449088627355
Date_adults_ages_40._became_eligible_for_COVID.19_vaccination,1.2453799421460168
Began_to_reopen_businesses,1.2208167685423428
Extended_Benefits_program_activated,1.1807997445766747
Date_adults_ages_75._became_eligible_for_COVID.19_vaccination,1.0086278871398182
Reopened_other_non.essential_retail,0.9942549526629929
Allow_audio.only_telehealth,0.9686308962138254
totalTestResults,0.9531354815238803
Variant...B.1.1.529,0.9485646345719979
Stay_at_home._shelter_in_place,0.8816770207530675
Date_adults_ages_45._became_eligible_for_COVID.19_vaccination,0.7850179371017739
Waived_one_week_waiting_period_for_unemployment_insurance,0.7548046278974414
Date_adults_ages_50._became_eligible_for_COVID.19_vaccination,0.7467101043135018
Variant...AY.2,0.7281588729327682
Suspended_elective_medical_procedures,0.7199813097590009
Reopen_restaurants,0.643276369636883
First_overall_eviction_moratorium_start,0.6173205201009001
Reopened_hair_salons.barber_shops,0.5962413211902045
Variant...B.1.1.7,0.5884651413403001
SNAP_Waiver_._Pandemic_EBT_during_school_year_2019.2020,0.5643233751175573
Reopened_gyms,0.5465604166924665
Date_adults_ages_70._became_eligible_for_COVID.19_vaccination,0.5187579089736297
Variant...B.1.1.194,0.5050127670399535
Variant...BA.2.12.1,0.49777483304769765
Face_mask_mandate_for_employees_of_public.facing_businesses,0.4927517410330145
Variant...BA.2,0.4744849126534667
Date_adults_ages_55._became_eligible_for_COVID.19_vaccination,0.4699296948880913
Date_banned_visitors_to_nursing_homes,0.4419444103728803
Allowed_restaurants_to_deliver_alcohol,0.4314158833004943
Variant...B.1.526,0.4226973324442704
Variant...B.1,0.39936691985241596
death,0.38288160439885816
negative,0.35967897535288607
Stopped_legal_visitation_in_state_prisons,0.34657814671364445
Date_adults_ages_65._became_eligible_for_COVID.19_vaccination,0.302908089002001
SNAP_Waiver_._Temporary_Suspension_of_Claims_Collection,0.28769744474781855
hospitalizedCurrently,0.27311120887105567
Reopen_bars,0.26795074527563145
End.relax_stay_at_home.shelter_in_place,0.25594412907153524
positiveIncrease,0.2519732134404591
totalTestsViral,0.2475499746691949
E_DAYPOP,0.24245203862830614
metrics.vaccinationsCompletedRatio,0.24091829834931047
Date_adults_ages_60._became_eligible_for_COVID.19_vaccination,0.23371594399141565
positive,0.2143638691134039
Reopened_movie_theaters,0.20371890144434174
Variant...P.1,0.19199000301275773
Variant...BA.4,0.18674299762478516
Resumed_elective_medical_procedures,0.1837788162864683
Reopened_religious_gatherings,0.16184862932343597
Variant...B.1.243,0.16003266988937231
First_eviction_hearing_ban_start,0.1566419893322814
Variant...B.1.429,0.1530980731562755
Closed_casinos,0.15010416538601412
Date_incarcerated_people_became_eligible_for_COVID.19_vaccination,0.1416054122463186
E_AGE17,0.13277902483499296
Date_grocery_store_workers_became_eligible_for_COVID.19_vaccination,0.12632879765820348
positiveCasesViral,0.1261344060681315
E_UNEMP,0.11818783468133509
Variant...B.1.2,0.11637624210669562
LAT,0.11390679372332516
Variant...B.1.596,0.1130027594676852
deathProbable,0.11266562840813849
First_eviction_enforcement_ban_start,0.111775699674178
Variant...B.1.525,0.10905941396339978
E_SNGPNT,0.10639146508829539
E_NOHSDP,0.10429969698030157
Variant...B.1.621.1,0.10426884473523994
E_NOVEH,0.1040689371542625
recovered,0.10114205014581136
Variant...B.1.234,0.09990851106854406
E_AGE65,0.09985728629206941
Utilities_shutoff_moratorium_start,0.09590167608855601
hhs_region,0.09118455285129415
First_eviction_initiation_ban_start,0.09075601898654098
Variant...B.1.637,0.08931764883153068
inIcuCurrently,0.08690444083627442
Date_K.12_school_employees_became_eligible_for_COVID.19_vaccination,0.08489657559175008
positiveTestsViral,0.08162742039218149
LON,0.08095776151434392
Variant...B.1.427,0.07593731237286885
Stopped_participating_in_pandemic.related_federal_unemployment_benefit_programs,0.07522052902227157
Date_vaccine_allocation_plan_last_updated,0.07458882927981823
totalTestsAntibody,0.07337384796728318
hospitalizedCumulative,0.06863216949609602
E_DISABL,0.06775184956879314
positiveTestsAntibody,0.0672638238966846
Non.payment_limitation_start,0.0651849395162636
Face_mask_mandate_in_public_spaces,0.06499062525006964
E_HH,0.06424755036505887
Population_density_per_square_miles,0.06268059523048694
deathConfirmed,0.060411198215690645
CARES_Act_pleading_start,0.05988225694117238
E_CROWD,0.05935599749836805
E_HU,0.05736356356744155
First_overall_eviction_moratorium_end,0.05553970436620022
Variant...B.1.621,0.052920105699698024
E_TOTPOP,0.052439442855883825
Percent_Unemployed_.2018.,0.050995901377366294
All.cause_deaths_2018,0.05062937359703665
Variant...AY.1,0.0492202696958022
Variant...B.1.617.1,0.04908342301222752
Total_Unemployment_Rate_at_Extended_Benefits_program_shutoff,0.049012369790241685
Exceptions_to_emergency_oral_prescriptions,0.04705866522307916
Square_Miles,0.04486668207398702
Variant...B.1.626,0.04431856523931952
totalTestsViralIncrease,0.040126563484753845
Utilities_shutoff_moratorium_expiration,0.035424220402242065
MP_POV,0.035280587960230946
Average_Benefit_Amount_.August.,0.03481118478548836
Attempted_to_prevent_local_governments_from_implementing_face_mask_orders,0.03444051752063455
Percent_living_under_the_federal_poverty_line_.2018.,0.033928023671745626
Variant...B.1.628,0.03258600040016606
E_MINRTY,0.030517144116187615
CARES_Act_pleading_end,0.029801718018367916
metrics.vaccinationsInitiatedRatio,0.028829503406341456
Resumed_visitation_in_state_prisons,0.02868602607468853
Number_Homeless_.2019.,0.02866863835658952
