datetime_x,fips,changepoint,outbreak,capacity,county_x,state_x,date.x,weekly new cases,days_from_start,log_rolled_cases.x.x,t0.hat,tau.hat,predicted.grf.future,predicted.grf.future.0,predicted.grf.future.last,Predicted_Double_Days,predicted.grf.past,predicted.grf.past.0,predicted.grf.past.last,log_rolled_cases.x.y,block.mse,block new cases,block.mse.0,block.mse.last,block.mae,block.mae.0,block.mae.last,block.mape,block.mape.0,block.mape.last,log_rolled_cases.x,date,county_y,state_y,cases,deaths,datetime_y,rolled_cases,LAT,LON,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,log_rolled_cases,shifted_log_rolled_cases,delta cases,delta_ranked,TLGRF_predictor,TLGRF_predictor_rank,TLGRF_decision,P,N,CDPHE_TP,TLGRF_TP,CDPHE_FP,TLGRF_FP,CDPHE_FN,TLGRF_FN,CDPHE_TN,TLGRF_TN
2020-10-19,8003,0.0,0,1.0,Alamosa,Colorado,2020-10-19,20.0,272.0,3.50941096630239,225.7322678037,0.084999256068956,4.52771760916586,4.104721927624,4.10440575878508,8.15474408384971,,,,,,,,,,,,,,,,2020-10-19,Alamosa,Colorado,43.0,9.0,2020-10-19,33.4285714285714,37.568442,-105.788041,722.576715,16444.0,6936.0,6153.0,3635.0,708.0,21328.0,1287.0,2113.0,3932.0,2948.0,387.0,8504.0,640.0,451.0,1113.0,196.0,506.0,1089.0,23.7,4.1,9.3,3.3,21328.0,1792.0,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2.0,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16.0,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.8911,0.9121,0.8417,0.5772,3.2221,0.8669,0.0952,0.7122,0.7358,0.2069,1.7501,0.2958,0.8863,0.8968,1.7831,0.9331,0.7771,0.6778,0.7953,0.8026,0.865,3.9178,0.9943,10.6731,0.9452,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2237.0,14.0,3.0,16662.0,3.509410966302388,3.9233867640784617,17.14285714285718,4.0,2.841403702876528,2.0,0,False,True,False,False,False,False,False,False,True,True
2020-10-20,8003,1.0,1,1.0,Alamosa,Colorado,2020-10-20,23.0,273.0,3.59926729542425,223.360822260561,0.079744528219136,4.51666450755138,4.14736719205548,4.1574789929582,8.6920970759924,,,,,,,,,,,,,,,,2020-10-20,Alamosa,Colorado,46.0,9.0,2020-10-20,36.5714285714286,37.568442,-105.788041,722.576715,16444.0,6936.0,6153.0,3635.0,708.0,21328.0,1287.0,2113.0,3932.0,2948.0,387.0,8504.0,640.0,451.0,1113.0,196.0,506.0,1089.0,23.7,4.1,9.3,3.3,21328.0,1792.0,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2.0,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16.0,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.8911,0.9121,0.8417,0.5772,3.2221,0.8669,0.0952,0.7122,0.7358,0.2069,1.7501,0.2958,0.8863,0.8968,1.7831,0.9331,0.7771,0.6778,0.7953,0.8026,0.865,3.9178,0.9943,10.6731,0.9452,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2237.0,14.0,3.0,16662.0,3.5992672954242497,3.9484926852095374,15.285714285714263,3.0,2.916371317728404,1.0,1,False,True,False,False,True,True,False,False,False,False
2021-04-04,8003,0.0,0,1.0,Alamosa,Colorado,2021-04-04,9.0,439.0,3.44316158076119,547.776889783244,-0.0303020180888057,3.08404515523425,3.23220870550652,3.23104745413955,-22.8746210410326,2.94026610113515,3.3014781351926,3.28508133251803,3.76782265645406,0.252903863428305,-12.0000000000001,0.0200741987481876,0.0249893648846192,0.50289547962604,0.14168344556859,0.15808024824316,0.146056311279723,0.0411492293478913,0.045911365044975,,2021-04-04,Alamosa,Colorado,26.0,29.0,2021-04-04,31.2857142857143,37.568442,-105.788041,722.576715,16444.0,6936.0,6153.0,3635.0,708.0,21328.0,1287.0,2113.0,3932.0,2948.0,387.0,8504.0,640.0,451.0,1113.0,196.0,506.0,1089.0,23.7,4.1,9.3,3.3,21328.0,1792.0,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2.0,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16.0,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.8911,0.9121,0.8417,0.5772,3.2221,0.8669,0.0952,0.7122,0.7358,0.2069,1.7501,0.2958,0.8863,0.8968,1.7831,0.9331,0.7771,0.6778,0.7953,0.8026,0.865,3.9178,0.9943,10.6731,0.9452,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2237.0,14.0,3.0,16662.0,3.443161580761188,3.555348061489413,3.7142857142856798,7.0,-0.9480202802069215,10.0,0,False,True,False,False,False,False,False,False,True,True
2021-04-06,8003,0.0,0,1.0,Alamosa,Colorado,2021-04-06,12.0,441.0,3.3770998300831,549.169943878808,-0.0301085504466876,3.04608035896366,3.16507958084725,3.16633997695629,-23.0216058321135,2.84693071057727,3.14335656374395,3.13770095866535,3.59926729542425,0.281079295277587,-7.28571428571417,0.0546359145588948,0.0573118196360924,0.53016911950583,0.23374326633915,0.23939887141775,0.156989472085812,0.069214200971192,0.070888893862477,,2021-04-06,Alamosa,Colorado,26.0,29.0,2021-04-06,29.2857142857143,37.568442,-105.788041,722.576715,16444.0,6936.0,6153.0,3635.0,708.0,21328.0,1287.0,2113.0,3932.0,2948.0,387.0,8504.0,640.0,451.0,1113.0,196.0,506.0,1089.0,23.7,4.1,9.3,3.3,21328.0,1792.0,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2.0,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16.0,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.8911,0.9121,0.8417,0.5772,3.2221,0.8669,0.0952,0.7122,0.7358,0.2069,1.7501,0.2958,0.8863,0.8968,1.7831,0.9331,0.7771,0.6778,0.7953,0.8026,0.865,3.9178,0.9943,10.6731,0.9452,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2237.0,14.0,3.0,16662.0,3.3770998300830954,3.754533424335373,13.428571428571406,2.0,-0.8817504059387088,10.0,0,False,True,False,False,False,False,False,False,True,True
2021-04-07,8003,1.0,1,1.0,Alamosa,Colorado,2021-04-07,8.0,442.0,3.32708940950844,508.940436688852,-0.0465371576104832,2.78945754943031,3.00480256919923,3.00132930623506,-14.8944889664642,2.97909810006958,3.21106575425488,3.21158172771469,3.55125807623789,0.121097951444972,-6.99999999999987,0.013461488578397,0.0133420245533662,0.34799130943886,0.11602365525356,0.11550768179375,0.104593314638417,0.0348724187940299,0.0347173362590264,,2021-04-07,Alamosa,Colorado,26.0,29.0,2021-04-07,27.8571428571429,37.568442,-105.788041,722.576715,16444.0,6936.0,6153.0,3635.0,708.0,21328.0,1287.0,2113.0,3932.0,2948.0,387.0,8504.0,640.0,451.0,1113.0,196.0,506.0,1089.0,23.7,4.1,9.3,3.3,21328.0,1792.0,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2.0,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16.0,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.8911,0.9121,0.8417,0.5772,3.2221,0.8669,0.0952,0.7122,0.7358,0.2069,1.7501,0.2958,0.8863,0.8968,1.7831,0.9331,0.7771,0.6778,0.7953,0.8026,0.865,3.9178,0.9943,10.6731,0.9452,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2237.0,14.0,3.0,16662.0,3.327089409508435,3.847103459328831,18.999999999999986,2.0,-1.2963922477206056,9.0,0,False,True,False,False,True,False,False,False,False,True
2021-07-12,8003,0.0,0,1.0,Alamosa,Colorado,2021-07-12,16.0,538.0,3.42006586596654,464.836361906926,0.0493959881062212,3.95976211379693,3.75752545319566,3.76583778271009,14.0324590545572,2.95430850519512,3.00852577580498,3.01017591360304,3.11033565629299,0.216929919112759,8.14285714285731,0.169365245810185,0.168009773048552,0.46575736077142,0.41154009016156,0.4098899523635,0.136183740028584,0.120331042234257,0.119848555094322,,2021-07-12,Alamosa,Colorado,33.0,37.0,2021-07-12,30.5714285714286,37.568442,-105.788041,722.576715,16444.0,6936.0,6153.0,3635.0,708.0,21328.0,1287.0,2113.0,3932.0,2948.0,387.0,8504.0,640.0,451.0,1113.0,196.0,506.0,1089.0,23.7,4.1,9.3,3.3,21328.0,1792.0,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2.0,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16.0,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.8911,0.9121,0.8417,0.5772,3.2221,0.8669,0.0952,0.7122,0.7358,0.2069,1.7501,0.2958,0.8863,0.8968,1.7831,0.9331,0.7771,0.6778,0.7953,0.8026,0.865,3.9178,0.9943,10.6731,0.9452,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2237.0,14.0,3.0,16662.0,3.420065865966539,3.771117552350908,12.857142857142811,4.0,1.510105922104478,5.0,0,False,True,False,False,False,False,False,False,True,True
2021-07-14,8003,0.0,0,1.0,Alamosa,Colorado,2021-07-14,17.0,540.0,3.5305534028762,468.208632423221,0.0528594267637614,4.16486652404134,3.8930656672592,3.90056939022253,13.1130287064548,3.43909070648947,3.31469381117272,3.31620765563881,3.15395627876888,0.0083654248303311,10.7142857142859,0.0465953633303929,0.0459440993587551,0.09146269638673,0.21585959170348,0.21434574723739,0.025906050964197,0.0611404409086767,0.0607116570061711,,2021-07-14,Alamosa,Colorado,39.0,37.0,2021-07-14,34.1428571428571,37.568442,-105.788041,722.576715,16444.0,6936.0,6153.0,3635.0,708.0,21328.0,1287.0,2113.0,3932.0,2948.0,387.0,8504.0,640.0,451.0,1113.0,196.0,506.0,1089.0,23.7,4.1,9.3,3.3,21328.0,1792.0,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2.0,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16.0,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.8911,0.9121,0.8417,0.5772,3.2221,0.8669,0.0952,0.7122,0.7358,0.2069,1.7501,0.2958,0.8863,0.8968,1.7831,0.9331,0.7771,0.6778,0.7953,0.8026,0.865,3.9178,0.9943,10.6731,0.9452,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2237.0,14.0,3.0,16662.0,3.530553402876196,3.862232340925131,13.428571428571502,4.0,1.804771856648422,6.0,0,False,True,False,False,False,False,False,False,True,True
2021-07-19,8003,0.0,0,1.0,Alamosa,Colorado,2021-07-19,24.0,545.0,3.77111755235091,465.041345551749,0.0491789007772395,4.27653103883277,4.10700327292223,4.11536985779159,14.0944016561009,3.95976211379693,3.75752545319566,3.76583778271009,3.42006586596654,0.0355867705631612,12.8571428571429,0.0001847451594461,2.78759674601269e-05,0.18864456144602,0.0135920991552503,0.0052797696408202,0.0500235165908364,0.0036042629185019,0.0014000543784504,,2021-07-19,Alamosa,Colorado,50.0,37.0,2021-07-19,43.4285714285714,37.568442,-105.788041,722.576715,16444.0,6936.0,6153.0,3635.0,708.0,21328.0,1287.0,2113.0,3932.0,2948.0,387.0,8504.0,640.0,451.0,1113.0,196.0,506.0,1089.0,23.7,4.1,9.3,3.3,21328.0,1792.0,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2.0,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16.0,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.8911,0.9121,0.8417,0.5772,3.2221,0.8669,0.0952,0.7122,0.7358,0.2069,1.7501,0.2958,0.8863,0.8968,1.7831,0.9331,0.7771,0.6778,0.7953,0.8026,0.865,3.9178,0.9943,10.6731,0.9452,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2237.0,14.0,3.0,16662.0,3.771117552350908,3.9675928565829577,9.428571428571495,4.0,2.1357694051829714,3.0,0,False,True,False,False,False,False,False,False,True,True
2021-07-31,8003,0.0,0,1.0,Alamosa,Colorado,2021-07-31,13.0,557.0,3.98898404656427,2030.82305929565,-0.0027418142308482,4.02175633811326,3.97232658981833,3.96979134694833,-252.806033596773,4.22161403048123,4.07996711188099,4.07877672587056,3.93182563272433,0.0541167094172049,2.99999999999954,0.0082779181744264,0.0080627252570021,0.23262998391696,0.0909830653167196,0.0897926793062895,0.0583181033570001,0.0228085808954497,0.0225101625521988,,2021-07-31,Alamosa,Colorado,49.0,38.0,2021-07-31,54.0,37.568442,-105.788041,722.576715,16444.0,6936.0,6153.0,3635.0,708.0,21328.0,1287.0,2113.0,3932.0,2948.0,387.0,8504.0,640.0,451.0,1113.0,196.0,506.0,1089.0,23.7,4.1,9.3,3.3,21328.0,1792.0,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2.0,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16.0,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.8911,0.9121,0.8417,0.5772,3.2221,0.8669,0.0952,0.7122,0.7358,0.2069,1.7501,0.2958,0.8863,0.8968,1.7831,0.9331,0.7771,0.6778,0.7953,0.8026,0.865,3.9178,0.9943,10.6731,0.9452,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2237.0,14.0,3.0,16662.0,3.9889840465642745,4.060443010546419,3.9999999999999787,8.0,-0.14805796846580282,12.0,0,False,True,False,False,False,False,False,False,True,True
2021-08-03,8003,0.0,0,1.0,Alamosa,Colorado,2021-08-03,20.0,560.0,3.98898404656427,316.603838375199,0.0167932212601853,4.20495814486641,4.1126914184407,4.10653659538557,41.2754152297935,4.34902626189385,4.17047626124911,4.16650702564715,3.98898404656427,0.129630396819432,0.0,0.0329394239912081,0.0315144081024607,0.36004221532958,0.18149221468484,0.17752297908288,0.0902591264158316,0.0454983556129186,0.044503306358365,,2021-08-03,Alamosa,Colorado,60.0,38.0,2021-08-03,54.0,37.568442,-105.788041,722.576715,16444.0,6936.0,6153.0,3635.0,708.0,21328.0,1287.0,2113.0,3932.0,2948.0,387.0,8504.0,640.0,451.0,1113.0,196.0,506.0,1089.0,23.7,4.1,9.3,3.3,21328.0,1792.0,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2.0,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16.0,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.8911,0.9121,0.8417,0.5772,3.2221,0.8669,0.0952,0.7122,0.7358,0.2069,1.7501,0.2958,0.8863,0.8968,1.7831,0.9331,0.7771,0.6778,0.7953,0.8026,0.865,3.9178,0.9943,10.6731,0.9452,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2237.0,14.0,3.0,16662.0,3.9889840465642745,4.108529197214057,6.857142857142868,9.0,0.9068339480500064,9.0,0,False,True,False,False,False,False,False,False,True,True
