Date,PROVNUM,PROVNAME,CITY,COUNTY,Case,ever_had_case,first_week,case_count_outbreak,case_count_CMS,Case_a,ever_had_case_a,first_week_a,homes_this,homes_last,homes_two,connections_this,connections_last,connections_two,homes_this_a,homes_last_a,homes_two_a,connections_this_a,connections_last_a,connections_two_a,OOS_homes,OOS_connections
19apr2020 00:00:00,065001,LOWRY HILLS CARE AND REHABILITATION,AURORA,Arapahoe County,1,1,19apr2020 00:00:00,4,0,1,1,19apr2020 00:00:00,1,0,0,2,0,0,1,0,0,2,0,0,0,0
19apr2020 00:00:00,065009,ST PAUL HEALTH CENTER,DENVER,Denver County,0,0,26apr2020 00:00:00,0,0,0,0,26apr2020 00:00:00,2,0,0,2,0,0,2,0,0,2,0,0,0,0
19apr2020 00:00:00,065015,MOUNTAIN VISTA HEALTH CENTER,WHEAT RIDGE,Jefferson County,1,1,19apr2020 00:00:00,5,0,1,1,19apr2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065034,AMBERWOOD COURT REHABILITATION AND CARE COMMUNITY,DENVER,Denver County,1,1,19apr2020 00:00:00,10,0,1,1,19apr2020 00:00:00,4,0,0,9,0,0,4,0,0,9,0,0,0,0
19apr2020 00:00:00,065052,MESA VISTA OF BOULDER,BOULDER,Boulder County,1,1,19apr2020 00:00:00,15,0,1,1,19apr2020 00:00:00,1,0,0,1,0,0,1,0,0,1,0,0,1,1
19apr2020 00:00:00,065077,ENGLEWOOD POST ACUTE AND REHABILITATION,ENGLEWOOD,Arapahoe County,0,0,,0,0,0,0,31may2020 00:00:00,3,0,0,4,0,0,3,0,0,4,0,0,0,0
19apr2020 00:00:00,065089,UNION PRINTERS HOME,COLORADO SPRINGS,El Paso County,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065092,VILLA MANOR CARE CENTER,LAKEWOOD,Jefferson County,0,0,10may2020 00:00:00,0,0,0,0,10may2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065095,GOOD SAMARITAN SOCIETY - BONELL COMMUNITY,GREELEY,Weld County,1,1,19apr2020 00:00:00,2,0,1,1,19apr2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065097,MAPLETON CARE CENTER,LAKEWOOD,Jefferson County,1,1,19apr2020 00:00:00,13,0,1,1,19apr2020 00:00:00,1,0,0,1,0,0,1,0,0,1,0,0,0,0
19apr2020 00:00:00,065100,ROCK CANYON RESPIRATORY AND REHABILITATION CENTER,PUEBLO,Pueblo County,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065108,"VILLAS AT SUNNY ACRES, THE",THORNTON,Adams County,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065110,MESA MANOR CENTER,GRAND JUNCTION,Mesa County,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065113,MEDALLION POST ACUTE REHABILITATION,COLORADO SPRINGS,El Paso County,0,0,12jul2020 00:00:00,0,0,0,0,21jun2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065119,"VALLEY MANOR CARE CENTER, INC",MONTROSE,Montrose County,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065120,CLEAR CREEK CARE CENTER,WESTMINSTER,Adams County,1,1,19apr2020 00:00:00,2,0,1,1,19apr2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065121,"PAVILION AT VILLA PUEBLO, THE",PUEBLO,Pueblo County,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065124,HOLLY HEIGHTS CARE CENTER,DENVER,Denver County,1,1,19apr2020 00:00:00,9,0,1,1,19apr2020 00:00:00,4,0,0,4,0,0,4,0,0,4,0,0,0,0
19apr2020 00:00:00,065129,NORTH SHORE HEALTH & REHAB FACILITY,LOVELAND,Larimer County,0,0,16aug2020 00:00:00,0,0,0,0,07jun2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065139,GOOD SAMARITAN SOCIETY -- LOVELAND VILLAGE,LOVELAND,Larimer County,0,0,,0,0,0,0,,1,0,0,1,0,0,1,0,0,1,0,0,0,0
19apr2020 00:00:00,065142,LEMAY AVENUE HEALTH AND REHABILITATION FACILITY,FORT COLLINS,Larimer County,0,0,26apr2020 00:00:00,0,0,0,0,26apr2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065144,GUNNISON VALLEY HEALTH SENIOR CARE CENTER,GUNNISON,Gunnison County,1,1,19apr2020 00:00:00,8,0,1,1,19apr2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065146,CHERRY CREEK NURSING CENTER,AURORA,Arapahoe County,1,1,19apr2020 00:00:00,51,0,1,1,19apr2020 00:00:00,3,0,0,3,0,0,3,0,0,3,0,0,0,0
19apr2020 00:00:00,065147,CHEYENNE MOUNTAIN CENTER,COLORADO SPRINGS,El Paso County,0,0,24may2020 00:00:00,0,0,0,0,24may2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065150,DEVONSHIRE ACRES,STERLING,Logan County,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065152,SUNDANCE SKILLED NURSING AND REHABILITATION,COLORADO SPRINGS,El Paso County,0,0,09aug2020 00:00:00,0,0,0,0,02aug2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065153,VISTA GRANDE INN,CORTEZ,Montezuma County,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2020 00:00:00,065163,EBEN EZER LUTHERAN CARE CENTER,BRUSH,Morgan County,1,1,19apr2020 00:00:00,7,0,1,1,19apr2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
