Setting name,Investigation status,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify","Is this an At Risk Population? (Healthcare, Corrections, Highly Mobile, Schools, Critical Infrastructure)",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Barrel,Resolved,4/18/2021,Bar/Tavern/Brewery,,,Denver,4/2/2021,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105 West Brewing,Resolved,3/2/2021,Bar/Tavern/Brewery,,,Douglas,2/4/2021,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111 Camino Del Rio Hotel Construction Site,Resolved,6/29/2020,Construction Site,,Yes,La Plata,5/30/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114 E. Dale St. Construction Site Outbreak,Resolved,11/17/2020,Construction Site,,Yes,El Paso,10/19/2020,,15,,,,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180 Ministries ,Resolved,11/3/2020,Healthcare - Alcohol/Drug Abuse Treatment (inpatient),,Yes,Denver,10/9/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888 Industrial Services,Resolved,10/15/2020,Construction Company/Contractor,,,Weld,9/25/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th Judicial District Probation,Resolved,12/31/2020,"Correctional, Other",Courthouse,Yes,Weld,12/15/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287 S Starwood Rd Construction Site,Resolved,8/22/2020,Construction Site,,Yes,Pitkin,7/30/2020,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3STEP Lacrosse,Resolved,4/15/2021,Youth Sports/Activities,,,Denver,3/27/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 Forty Solutions,Resolved,6/17/2020,Non-Food Manufacturer/Warehouse,Wood Pallet Manufacturer,,Adams,5/21/2020,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th Judicial District Attorney's Office,Resolved,5/21/2021,Law Enforcement Administration,,Yes,El Paso,3/8/2021,,13,,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th Judicial District Courthouse,Resolved,5/29/2021,Office/Indoor Workspace,,Yes,El Paso,4/27/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 Sierra Madre St. Construction Site,Resolved,2/2/2021,Construction Site,,Yes,El Paso,1/4/2021,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5280 Gymnastics, LLC- Littleton",Resolved,3/22/2021,Youth Sports/Activities,,,Jefferson,2/9/2021,,7,29,,,,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5280 High School: April 2021,Resolved,5/29/2021,School K-12,,Yes,Denver,5/3/2021,,,8,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5280 High School: January 2021,Resolved,2/14/2021,School K-12,,Yes,Denver,1/27/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
