Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Bridge Tournament,2020-04-14,Social Gathering,Bridge Tournament,El Paso,2020-03-14,,,24,,,4,24,4,,,,,,,
"Fairacres Manor, Inc. (020369): March 2020",2020-05-18,Healthcare - Nursing Facility,,Weld,2020-03-17,40,46,,13,,,86,13,,,,,,,
North Shore Health & Rehab Facility (020331): March 2020 ,2020-05-19,Healthcare - Nursing Facility,,Larimer,2020-03-17,29,13,,11,,,42,11,,,,,,,
Brookdale Meridian Englewood (020409): April 2020,2020-07-28,Healthcare - Nursing Facility,,Arapahoe,2020-03-18,18,17,,10,,,35,10,,,,,,,
The Residence at Oakridge (23R289): April 2020,2020-06-02,Healthcare - Assisted Living,,Larimer,2020-03-18,8,7,,1,,,15,1,,,,,,,
Boulder Manor (020339): April 2020,2020-07-02,Healthcare - Nursing Facility,,Boulder,2020-03-19,39,34,,7,,,73,7,,,,,,,
"Laurel Manor Care Center, Inc (020527): March 2020",2020-08-17,Healthcare - Nursing Facility,,El Paso,2020-03-19,40,46,,14,,,86,14,,,,,,,
Centennial Health Care Center (020317): March 2020,2020-06-01,Healthcare - Nursing Facility,,Weld,2020-03-20,46,42,,22,,,88,22,,,,,,,
Columbine Manor Care Center (020698): April 2020,2020-05-29,Healthcare - Nursing Facility,,Chaffee,2020-03-20,44,15,,14,,,59,14,,,,,,,
Inglenook at Brighton (2303GK): March 2020,2020-05-19,Healthcare - Assisted Living,,Adams,2020-03-23,20,19,,8,,,39,8,,,,,,,
Libby Bortz Assisted Living Center (2304GF): March 2020,2020-05-14,Healthcare - Assisted Living,,Arapahoe,2020-03-23,11,5,,6,,,16,6,,,,,,,
Mapleton Care Center (020411): March 2020,2020-06-12,Healthcare - Nursing Facility,,Jefferson,2020-03-23,17,18,,9,1,,35,10,,,,,,,
The Granville Assisted Living Center (23045K): March 2020,2020-06-04,Healthcare - Assisted Living,,Jefferson,2020-03-23,17,8,,3,,,25,3,,,,,,,
Avamere Transitional Care and Rehabilitation (020399): April 2020,2020-05-07,Healthcare - Nursing Facility,,Adams,2020-03-24,2,,,,,,2,0,,,,,,,
The Suites at Someren Glen Care Center (020471): April 2020,2020-07-29,Healthcare - Nursing Facility,,Arapahoe,2020-03-24,16,17,,7,,,33,7,,,,,,,
Brookdale Lowry (2304K7): April 2020,2020-06-08,Healthcare - Assisted Living,,Denver,2020-03-25,12,23,,3,,,35,3,,,,,,,
MorningStar at Mountain Shadows (23Y392): March 2020,2020-05-14,Healthcare - Assisted Living,,El Paso,2020-03-25,22,9,,8,,,31,8,,,,,,,
Jewell Care Center of Denver (020416): March 2020,2020-08-19,Healthcare - Nursing Facility,,Denver,2020-03-26,51,33,,8,,,84,8,,,,,,,
RiverPointe Senior Living,2020-05-28,Healthcare - Independent Living Facility,,Arapahoe,2020-03-26,3,3,,1,,,6,1,,,,,,,
Amberwood Court Rehabilitation and Care Community (020460): March 2020,2020-05-26,Healthcare - Nursing Facility,,Denver,2020-03-27,29,19,,15,,,48,15,,,,,,,
Brookdale Greenwood Village (0204W6): April 2020,2020-08-11,Healthcare - Nursing Facility,,Arapahoe,2020-03-27,18,24,,5,,,42,5,,,,,,,
Casey's Pond Senior Living (23Y775): March 2020,2020-06-11,Healthcare - Assisted Living,,Routt,2020-03-27,13,14,,6,,,27,6,,,,,,,
Holly Heights Care Center (020412): March 2020,2020-07-17,Healthcare - Nursing Facility,,Denver,2020-03-27,54,36,,16,,,90,16,,,,,,,
Juniper Village at Aurora (2304S1): April 2020,2020-06-12,Healthcare - Assisted Living,,Arapahoe,2020-03-27,38,34,,9,,,72,9,,,,,,,
Montage Ridge ALR (2304WQ): April 2020,2020-06-09,Healthcare - Assisted Living,,Jefferson,2020-03-27,6,15,,1,2,,21,3,,,,,,,
Serenity House Assisted Living III (2304WE),2020-04-29,Healthcare - Assisted Living,,Arapahoe,2020-03-27,7,4,,3,,,11,3,,,,,,,
Highline Rehabilitation and Care Community (020437): April 2020,2020-05-18,Healthcare - Nursing Facility,,Denver,2020-03-29,15,30,,10,,,45,10,,,,,,,
Pearl Street Health and Rehabilitation Center (020431): April 2020,2020-07-15,Healthcare - Nursing Facility,,Arapahoe,2020-03-29,11,12,,,,,23,0,,,,,,,
Sierra Rehabilitation and Care Community (020423): April 2020,2020-06-16,Healthcare - Nursing Facility,,Jefferson,2020-03-29,29,45,,14,,,74,14,,,,,,,
Abundant Blessings and Care Assisted Living- Lincoln (23T700): April 2020,2020-04-30,Healthcare - Assisted Living,,Arapahoe,2020-03-30,2,2,,1,,,4,1,,,,,,,
Brookshire House Rehabilitation and Care Community (020403): April 2020,2020-08-17,Healthcare - Nursing Facility,,Denver,2020-03-30,14,29,,8,,,43,8,,,,,,,
Cherrelyn Healthcare Center (020428): April 2020,2020-06-18,Healthcare - Nursing Facility,,Arapahoe,2020-03-30,39,21,,9,,,60,9,,,,,,,
Cherry Creek Nursing Center (020408): April 2020,2020-08-05,Healthcare - Nursing Facility,,Arapahoe,2020-03-30,96,66,,33,1,,162,34,,,,,,,
Frasier Meadows Manor Inc. Assisted Living Center (23J640): April 2020,2020-06-19,Healthcare - Assisted Living,,Boulder,2020-03-30,3,8,,,,,11,0,,,,,,,
"Rowan Community, Inc (020459): April 2020",2020-07-01,Healthcare - Nursing Facility,,Denver,2020-03-30,19,30,,3,,,49,3,,,,,,,
Terrace Gardens Healthcare Center (020561): March 2020,2020-05-09,Healthcare - Nursing Facility,,El Paso,2020-03-30,8,5,,,,,13,0,,,,,,,
The Courtyards at Mountain View (23X801): March 2020,2020-05-25,Healthcare - Assisted Living,,Denver,2020-03-30,5,3,,,,,8,0,,,,,,,
Wind Crest: March 2020,2020-08-14,Healthcare - Independent Living Facility,,Douglas,2020-03-30,9,51,,2,,,60,2,,,,,,,
Aurora Makarios Assisted Living (23W788): April 2020,2020-05-04,Healthcare - Assisted Living,,Arapahoe,2020-03-31,6,1,,1,,,7,1,,,,,,,
Balfour Retirement Community (02033Y): April 2020,2020-06-22,Healthcare - Nursing Facility,,Boulder,2020-03-31,12,18,,5,,,30,5,,,,,,,
Brookdale - Tamarac Square: April 2020,2020-05-14,Healthcare - Independent Living Facility,,Denver,2020-03-31,4,1,,2,,,5,2,,,,,,,
Cargill Meat Solutions: April 2020,2020-07-14,Meat Processing/Packaging,Meat Packing Plant,Morgan,2020-03-31,,109,,,4,,109,4,,,,,,,
Mountain States Rosen Company,2020-05-27,Meat Processing/Packaging,Meat Processing Plant (Lamb),Weld,2020-03-31,,9,,,,,9,0,,,,,,,
The Edge- Copper Mountain: March 2020,2020-04-26,Other,Employee Housing,Summit,2020-03-31,,4,,,,,4,0,,,,,,,
Winslow Court Retirement Community (230512): April 2020,2020-06-11,Healthcare - Assisted Living,Assisted living & independent living,El Paso,2020-03-31,29,12,,11,,,41,11,,,,,,,
Aurora Organic Dairy - Platteville,2020-05-12,Farm/Dairy,,Weld,2020-04-01,,7,,,1,,7,1,,,,,,,
Brookdale El Camino (2306MT): April 2020,2020-05-27,Healthcare - Assisted Living,,Pueblo,2020-04-01,15,16,,5,,,31,5,,,,,,,
Littleton Care and Rehabilitation Center (020462): April 2020,2020-05-08,Healthcare - Nursing Facility,,Arapahoe,2020-04-01,8,18,,4,,,26,4,,,,,,,
Sloan's Lake Rehabilitation Center (02Q649): April 2020,2020-05-22,Healthcare - Nursing Facility,Rehab,Denver,2020-04-01,14,17,,3,,,31,3,,,,,,,
Sunrise at Cherry Creek (2304OU): April 2020,2020-05-17,Healthcare - Assisted Living,,Denver,2020-04-01,6,6,,3,,,12,3,,,,,,,
The Bridge Assisted Living at Life Care Center of Longmont (2303KO): April 2020,2020-05-12,Healthcare - Assisted Living,,Boulder,2020-04-01,22,13,,9,,,35,9,,,,,,,
Weld County Jail: April 2020,2021-04-01,Jail,,Weld,2020-04-01,88,28,,1,,,116,1,,,,,,,
