Setting name,Date Resolved,County,Date Reported,Total cases,Total deaths,fips
"Fairacres Manor, Inc. (020369): March 2020",2020-05-18,Weld,2020-03-17,86,13,8123
Centennial Health Care Center (020317): March 2020,2020-06-01,Weld,2020-03-20,88,22,8123
Mountain States Rosen Company,2020-05-27,Weld,2020-03-31,9,0,8123
Aurora Organic Dairy - Platteville,2020-05-12,Weld,2020-04-01,7,1,8123
Weld County Jail: April 2020,2021-04-01,Weld,2020-04-01,116,1,8123
JBS Greeley Beef Plant: April 2020,2020-10-20,Weld,2020-04-02,294,6,8123
Good Samaritan Society - Bonell Community (020356): April 2020,2020-06-30,Weld,2020-04-09,60,8,8123
Columbine Commons Health and Rehab LLC (02L578): April 2020,2020-05-20,Weld,2020-04-12,19,0,8123
Intervention Community Corrections Services - Weld: April 2020,2020-06-02,Weld,2020-04-16,68,0,8123
Weld County Work Release Program,2020-06-08,Weld,2020-04-21,23,0,8123
Leprino Foods - Greeley: April 2020,2020-07-23,Weld,2020-04-24,21,0,8123
Kenton Manor (020321): April 2020,2020-07-07,Weld,2020-05-11,46,9,8123
"The Center at Centerplace, LLC (02Z779): April 2020",2020-06-01,Weld,2020-05-11,34,4,8123
Grace Pointe Continuing Care Senior Campus - Skilled Nursing (02D975): May 2020,2020-06-09,Weld,2020-05-12,13,1,8123
JBS Corporate: May 2020,2020-05-27,Weld,2020-05-13,5,1,8123
Olson's Greenhouse,2020-05-19,Weld,2020-05-19,23,0,8123
Culver's- Greeley,2020-06-17,Weld,2020-05-21,4,0,8123
Food King,2020-06-16,Weld,2020-05-27,14,0,8123
Victory Outreach Transitional Housing,2020-05-29,Weld,2020-06-12,12,0,8123
Burris Optics,2020-07-20,Weld,2020-06-25,3,0,8123
Centennial Health Care Center (020317): June 2020,2020-08-09,Weld,2020-06-26,24,0,8123
ABC Central Child Development Centers,2020-07-27,Weld,2020-06-29,2,0,8123
Hearth Restaurant and Pub,2020-08-06,Weld,2020-06-30,7,0,8123
JBS Summer Internship Program,2020-08-03,Weld,2020-07-03,10,0,8123
Golden Aluminum,2020-08-20,Weld,2020-07-13,11,1,8123
University of Northern Colorado - Athletic Program,2020-08-16,Weld,2020-07-21,24,0,8123
Applebee's- Greeley,2020-08-18,Weld,2020-07-22,4,0,8123
Bunting Disposal,2020-07-31,Weld,2020-07-28,2,0,8123
Greeley Dental Care,2020-08-22,Weld,2020-08-11,3,0,8123
Vestas Blades America - Windsor: August 2020,2020-09-22,Weld,2020-08-11,10,0,8123
Weld County DHS - Payment Assistance Unit,2020-09-16,Weld,2020-08-25,4,0,8123
Faith Tabernacle Church Greeley,2020-10-01,Weld,2020-09-08,10,0,8123
Little Angels Christian Pre-K,2020-09-29,Weld,2020-09-14,3,0,8123
Way To Go Merchandising and Staffing-5051,2020-10-13,Weld,2020-09-14,4,0,8123
Farmers Insurance- Fort Lupton,2020-10-11,Weld,2020-09-18,3,0,8123
Pelican Lakes Golf Club,2020-10-17,Weld,2020-09-22,28,0,8123
1888 Industrial Services,2020-10-15,Weld,2020-09-25,3,0,8123
Moffat Glass,2020-10-14,Weld,2020-09-25,2,0,8123
University of Northern Colorado - Sigma Kappa Sorority,2020-10-14,Weld,2020-09-25,3,0,8123
Grace Pointe Continuing Care Senior Campus Assisted Living (23T749): September 2020,2021-03-23,Weld,2020-09-30,88,12,8123
Independent Financial Greeley - West,2020-10-22,Weld,2020-10-02,2,0,8123
Fatigue and Sleep Remedies of Colorado - Greeley,2020-10-29,Weld,2020-10-05,3,0,8123
Aurora Organic Dairy - High Plains Dairy Farm,2020-11-04,Weld,2020-10-13,3,0,8123
Chili's Grill & Bar- Greeley: October 2020,2020-11-16,Weld,2020-10-16,4,0,8123
Birch Assisted Living (23Y767): October 2020,2020-11-23,Weld,2020-10-19,45,0,8123
City of Greeley Municipal Court,2020-11-26,Weld,2020-10-19,3,0,8123
JBS Corporate: October 2020,2021-06-05,Weld,2020-10-19,77,0,8123
"McDonald Farms Enterprises, Inc.",2020-10-22,Weld,2020-10-21,2,0,8123
Cables Pub & Grill,2020-11-26,Weld,2020-10-28,7,0,8123
Carbon Valley Parks & Recreation District Recreation Center,2020-11-30,Weld,2020-10-28,11,0,8123
Life Care Center of Greeley (0203TL): October 2020,2020-12-30,Weld,2020-10-29,54,10,8123
Nature's Herbs and Wellness: October 2020,2021-01-27,Weld,2020-10-29,8,0,8123
City of Greeley Water Distribution Office,2020-12-14,Weld,2020-10-30,5,0,8123
University of Northern Colorado - Alpha Phi Sorority - Delta Gamma Chapter,2020-11-30,Weld,2020-10-30,5,0,8123
City of Evans Police Department,2021-01-13,Weld,2020-11-03,9,0,8123
McLane Western,2021-03-08,Weld,2020-11-03,79,0,8123
Town of Firestone,2020-11-24,Weld,2020-11-03,5,0,8123
University of Northern Colorado Volleyball Team,2020-12-26,Weld,2020-11-05,6,0,8123
Brookdale Greeley (2303B5): November 2020,2020-12-18,Weld,2020-11-09,12,1,8123
Canvas Credit Union - Greeley,2020-12-21,Weld,2020-11-09,4,0,8123
Carestream Health Inc.,2021-01-13,Weld,2020-11-09,17,0,8123
Greeley West High School: November 2020,2020-12-23,Weld,2020-11-09,21,0,8123
The Human Bean- Greeley Plaza,2020-11-19,Weld,2020-11-09,2,0,8123
The Human Bean- Greeley Tenth Street,2020-12-01,Weld,2020-11-09,4,0,8123
Vestas Blades-Brighton,2021-02-23,Weld,2020-11-09,52,0,8123
ABC West Child Development Centers,2020-12-02,Weld,2020-11-10,10,0,8123
Summit Bodyworks,2021-06-14,Weld,2020-11-10,34,0,8123
YMCA Inspire Preschool - Johnstown: November 2020,2020-12-01,Weld,2020-11-10,6,0,8123
JBS Greeley Beef Plant: November 2020,2021-06-14,Weld,2020-11-13,119,0,8123
Canvas Credit Union- Windsor,2020-12-02,Weld,2020-11-16,2,0,8123
Cost Cutters - Center Place at Greeley,2020-12-11,Weld,2020-11-17,2,0,8123
Goodwill- Greeley,2020-12-12,Weld,2020-11-17,13,0,8123
Vestas Blades America - Windsor: November 2020,2021-02-09,Weld,2020-11-17,48,0,8123
Boulder Scientific Company,2021-02-11,Weld,2020-11-18,12,0,8123
Greeley Office of the Colorado State Public Defender,2020-12-07,Weld,2020-11-18,3,0,8123
Alternative Homes for Youth: November 2020,2021-01-06,Weld,2020-11-19,13,0,8123
Owens- Illinois: November 2020,2021-01-05,Weld,2020-11-19,32,0,8123
University of Northern Colorado - Delta Zeta Sorority ,2020-12-15,Weld,2020-11-20,9,0,8123
Garden Square of Greeley (2303DK): November 2020,2021-01-01,Weld,2020-11-23,30,6,8123
Erie Middle School: November 2020,2021-01-11,Weld,2020-11-24,9,0,8123
Fort Lupton City Hall,2020-12-20,Weld,2020-11-25,6,0,8123
Rodarte Community Center ,2020-12-12,Weld,2020-11-25,2,0,8123
City of Greeley Forestry Department,2020-12-15,Weld,2020-11-30,2,0,8123
City of Greeley Wastewater Treatment,2020-12-18,Weld,2020-11-30,3,0,8123
Columbine Commons Health and Rehab LLC (02L578): November 2020,2021-01-04,Weld,2020-11-30,36,2,8123
Tagawa Greenhouse Enterprises - Brighton,2020-12-30,Weld,2020-11-30,8,0,8123
Target- Greeley,2021-02-07,Weld,2020-11-30,18,0,8123
West Ridge Animal Hospital,2021-01-15,Weld,2020-11-30,5,0,8123
"Fairacres Manor, Inc. (020369): November 2020",2021-01-18,Weld,2020-12-01,15,0,8123
Windsor Healthcare Center (020332): November 2020,2020-12-31,Weld,2020-12-01,157,18,8123
Kenton Manor (020321): November 2020,2020-12-15,Weld,2020-12-02,10,0,8123
Assisted Living at Greeley (23Z395),2021-01-02,Weld,2020-12-03,17,1,8123
King Soopers #117,2021-05-23,Weld,2020-12-04,44,0,8123
Columbine Commons Assisted Living (23R659): December 2020,2021-01-29,Weld,2020-12-07,33,2,8123
State Farm Greeley Operations Center,2020-12-22,Weld,2020-12-07,5,0,8123
Caroline's Clean Team,2021-01-01,Weld,2020-12-09,2,0,8123
University of Northern Colorado- Delta Sigma Phi-Zeta Kappa Chapter,2020-12-29,Weld,2020-12-09,4,0,8123
Eagle's Nest Aviator Homes (23I528),2021-01-25,Weld,2020-12-10,2,0,8123
Garden Square at Westlake (2303C0): December 2020,2020-12-31,Weld,2020-12-11,5,0,8123
Eaton High School: December 2020,2021-02-11,Weld,2020-12-14,34,0,8123
Good Samaritan Society - Bonell Community (020356): December 2020,2021-01-30,Weld,2020-12-14,21,0,8123
19th Judicial District Probation,2020-12-31,Weld,2020-12-15,3,0,8123
MeadowView of Greeley (23N615): December 2020,2021-01-01,Weld,2020-12-15,7,0,8123
Sheep Draw Veterinary Hospital ,2021-01-05,Weld,2020-12-17,4,0,8123
Cold Weather Shelter,2021-02-02,Weld,2020-12-21,15,0,8123
Centennial Health Care Center (020317): December 2020,2021-01-05,Weld,2020-12-28,4,0,8123
Charleston Assisted Living (23K101): December 2020,2021-01-06,Weld,2020-12-29,2,0,8123
Primrose School of Erie at Vista Ridge,2021-01-26,Weld,2020-12-30,4,0,8123
Kenton Manor (020321): December 2020,2021-01-19,Weld,2021-01-01,3,0,8123
Titan Solutions,2021-01-24,Weld,2021-01-06,3,0,8123
Birch Assisted Living (23Y767): December 2020,2021-02-01,Weld,2021-01-07,2,0,8123
The Lodge at Greeley (23R710): January 2021,2021-01-18,Weld,2021-01-08,2,0,8123
Anheuser-Busch Metal Container Corp. - Windsor,2021-03-17,Weld,2021-01-12,15,0,8123
Garden Square at Westlake (2303C0): January 2021,2021-02-03,Weld,2021-01-13,12,0,8123
