"fips","cases.2021-10-30","cases.2021-10-31","cases.2021-11-01","cases.2021-11-02","cases.2021-11-03","cases.2021-11-04","cases.2021-11-05","cases.2021-11-06","cases.2021-11-07","cases.2021-11-08","cases.2021-11-09","cases.2021-11-10","cases.2021-11-11","cases.2021-11-12","cases.2021-11-13","cases.2021-11-14","cases.2021-11-15","cases.2021-11-16","cases.2021-11-17","cases.2021-11-18","cases.2021-11-19","cases.2021-11-20","cases.2021-11-21","cases.2021-11-22","cases.2021-11-23","cases.2021-11-24","cases.2021-11-25","cases.2021-11-26","cases.2021-11-27","cases.2021-11-28","d20"
1001,10239,10252,10258,10271,10284,10304,10314,10327,10331,10335,10350,10355,10373,10383,10401,10403,10407,10419,10423,10439,10457,10468,10471,10477,10495,10508,10512,10512,10517,10517,0
1003,37398,37414,37425,37445,37461,37495,37529,37633,37648,37659,37737,37745,37785,37819,37855,37865,37875,37891,37914,37940,37959,37981,37986,38000,38014,38042,38061,38061,38068,38074,0
1005,3599,3601,3601,3605,3607,3609,3611,3612,3614,3614,3620,3622,3631,3632,3648,3648,3648,3653,3655,3659,3660,3683,3687,3688,3690,3691,3691,3691,3694,3694,0
1007,4278,4279,4281,4283,4286,4290,4295,4294,4295,4295,4301,4302,4310,4313,4317,4317,4317,4323,4325,4328,4333,4337,4337,4337,4338,4339,4340,4340,4340,4340,0
1009,10395,10406,10408,10423,10441,10490,10510,10527,10533,10534,10548,10547,10494,10513,10530,10534,10536,10548,10568,10598,10621,10626,10636,10640,10659,10696,10700,10700,10714,10715,1
1011,1526,1526,1526,1526,1524,1524,1525,1524,1525,1525,1520,1519,1519,1520,1521,1523,1523,1524,1525,1524,1524,1527,1527,1527,1527,1525,1525,1525,1526,1526,0
1013,3349,3351,3353,3365,3369,3374,3377,3377,3378,3377,3381,3382,3387,3387,3387,3390,3391,3393,3398,3404,3409,3419,3422,3426,3430,3430,3433,3433,3434,3434,0
1015,22341,22348,22350,22341,22351,22372,22383,22368,22374,22377,22365,22368,22371,22414,22473,22481,22485,22506,22512,22523,22522,22541,22545,22548,22589,22582,22582,22582,22585,22585,0
1017,5780,5785,5786,5787,5785,5782,5785,5789,5790,5791,5794,5795,5800,5803,5809,5809,5809,5810,5785,5787,5795,5774,5774,5774,5778,5778,5778,5778,5783,5784,1
1019,3068,3068,3069,3071,3072,3082,3089,3093,3095,3096,3101,3103,3111,3112,3117,3119,3120,3124,3130,3132,3133,3140,3144,3144,3148,3161,3169,3169,3175,3177,0
1021,6764,6794,6796,6811,6814,6819,6824,6841,6846,6848,6862,6879,6895,6911,6919,6919,6920,6923,6933,6944,6955,6970,6976,6979,6991,7000,7015,7015,7018,7018,0
1023,902,903,903,905,905,906,907,908,908,908,908,912,914,920,921,921,921,923,924,927,928,929,929,930,931,931,932,932,932,932,0
1025,4777,4778,4778,4782,4784,4815,4809,4810,4811,4812,4813,4815,4816,4818,4822,4822,4822,4826,4826,4835,4836,4837,4837,4839,4842,4845,4849,4849,4849,4849,0
1027,2465,2468,2468,2473,2472,2473,2476,2479,2480,2480,2484,2484,2487,2488,2495,2495,2497,2496,2501,2502,2507,2508,2508,2508,2509,2508,2508,2508,2508,2508,0
1029,2492,2494,2495,2495,2502,2507,2510,2509,2510,2512,2515,2517,2518,2520,2525,2525,2526,2528,2529,2531,2533,2535,2539,2540,2542,2542,2543,2543,2544,2544,0
1031,9273,9277,9278,9291,9299,9307,9316,9321,9328,9331,9351,9355,9358,9361,9366,9369,9369,9374,9373,9377,9381,9396,9401,9402,9411,9412,9412,9412,9414,9415,0
1033,9122,9126,9129,9142,9149,9157,9173,9185,9188,9194,9200,9199,9211,9220,9232,9233,9239,9244,9254,9263,9280,9288,9293,9297,9305,9318,9325,9325,9334,9341,0
1035,1890,1892,1892,1893,1893,1892,1896,1898,1899,1900,1904,1906,1909,1911,1912,1912,1913,1914,1917,1920,1921,1923,1923,1924,1925,1926,1927,1927,1927,1928,0
1037,1816,1815,1816,1818,1820,1820,1820,1822,1825,1826,1829,1831,1836,1837,1834,1834,1834,1822,1827,1830,1833,1838,1840,1840,1841,1843,1846,1846,1849,1850,0
1039,6745,6749,6750,6762,6763,6768,6774,6773,6776,6777,6784,6785,6839,6846,6849,6850,6853,6858,6862,6867,6872,6891,6892,6893,6918,6926,6926,6926,6932,6933,0
1041,2505,2509,2510,2511,2514,2519,2518,2525,2525,2526,2548,2556,2562,2562,2560,2562,2562,2569,2572,2575,2576,2592,2592,2592,2597,2602,2604,2604,2604,2604,0
1043,15697,15703,15706,15720,15724,15752,15770,15805,15814,15820,15833,15835,15880,15888,15894,15899,15906,15918,15938,15947,15953,15976,15985,15991,16009,16017,16032,16032,16044,16050,0
1045,8943,8944,8945,8954,8954,8952,8955,8959,8963,8962,8971,8975,8984,8988,8986,8987,8992,8998,9005,9004,9006,9004,9005,9007,9011,9011,9013,9013,9018,9018,0
1047,5207,5207,5207,5211,5214,5225,5232,5242,5244,5245,5250,5249,5253,5260,5262,5263,5263,5269,5273,5277,5280,5279,5279,5280,5280,5283,5283,5283,5285,5285,0
1049,12723,12727,12729,12723,12730,12739,12747,12748,12752,12752,12761,12775,12784,12803,12801,12804,12808,12817,12835,12846,12858,12876,12878,12884,12901,12929,12957,12957,12967,12971,0
1051,15482,15488,15495,15507,15529,15553,15617,15643,15644,15647,15703,15719,15730,15757,15815,15821,15825,15871,15911,15900,15888,15886,15892,15899,15902,15894,15902,15902,15904,15904,0
1053,6852,6854,6855,6861,6865,6866,6881,6887,6890,6892,6896,6894,6902,6908,6912,6913,6916,6921,6923,6925,6930,6937,6942,6945,6947,6950,6951,6951,6955,6955,0
1055,19895,19899,19907,19904,19917,19932,19946,19933,19939,19941,19950,19953,19956,19968,19967,19971,19972,19977,19979,19985,19987,19997,20002,20002,20006,20003,20009,20009,20013,20016,0
1057,3010,3010,3010,3017,3027,3046,3078,3117,3116,3117,3146,3174,3188,3197,3215,3216,3217,3227,3257,3262,3275,3275,3278,3280,3289,3295,3298,3298,3300,3300,0
1059,6092,6094,6098,6100,6103,6109,6115,6124,6125,6128,6178,6184,6192,6208,6221,6226,6228,6231,6234,6239,6264,6266,6268,6281,6298,6331,6337,6337,6340,6342,0
1061,4593,4593,4595,4601,4600,4600,4605,4607,4606,4605,4607,4608,4610,4612,4614,4616,4617,4621,4622,4621,4623,4631,4632,4633,4639,4640,4640,4640,4642,4642,0
1063,1277,1277,1278,1280,1284,1284,1284,1284,1284,1284,1287,1288,1293,1293,1294,1294,1294,1296,1295,1297,1298,1300,1300,1300,1301,1301,1302,1302,1302,1302,0
1065,3136,3137,3137,3140,3143,3141,3143,3145,3146,3147,3149,3148,3149,3151,3154,3155,3155,3157,3158,3161,3163,3168,3168,3170,3171,3174,3179,3179,3181,3183,0
1067,3147,3149,3149,3151,3154,3159,3160,3164,3164,3164,3169,3171,3173,3174,3177,3179,3181,3183,3188,3193,3195,3199,3202,3204,3204,3205,3205,3205,3206,3206,0
1069,17492,17498,17500,17512,17523,17545,17549,17561,17568,17574,17581,17597,17608,17622,17630,17631,17633,17651,17668,17680,17684,17687,17689,17693,17700,17709,17723,17723,17727,17729,0
1071,10055,10059,10059,10087,10094,10119,10118,10116,10117,10118,10122,10111,10131,10137,10131,10134,10143,10140,10136,10139,10137,10146,10148,10152,10162,10157,10151,10151,10157,10161,0
1073,115560,115597,115628,115638,115645,115643,115649,115693,115726,115760,115843,115832,115849,115918,115899,115936,115970,116006,116001,116022,115983,116023,116056,116084,116087,116056,116061,116061,116100,116124,1
1075,2323,2324,2325,2347,2356,2371,2377,2395,2399,2399,2409,2414,2418,2431,2448,2449,2452,2458,2474,2477,2486,2493,2494,2496,2503,2506,2512,2512,2512,2514,0
1077,14641,14650,14653,14671,14697,14721,14733,14744,14746,14760,14778,14775,14799,14817,14822,14832,14836,14843,14851,14869,14883,14900,14904,14907,14919,14936,14945,14945,14968,14984,0
1079,4571,4572,4574,4596,4613,4629,4641,4662,4665,4668,4690,4696,4703,4708,4718,4720,4721,4727,4735,4748,4780,4784,4785,4790,4806,4819,4826,4826,4826,4826,0
1081,25254,25283,25284,25308,25314,25320,25327,25332,25335,25343,25373,25375,25382,25403,25414,25425,25429,25436,25455,25470,25478,25482,25486,25492,25527,25531,25541,25541,25550,25557,0
1083,15741,15745,15751,15780,15788,15824,15844,15879,15887,15889,15914,15918,15967,15982,16006,16017,16022,16031,16038,16063,16075,16087,16090,16096,16099,16115,16123,16123,16135,16138,0
1085,1769,1768,1769,1770,1771,1773,1774,1778,1778,1780,1777,1778,1778,1778,1779,1779,1779,1779,1777,1778,1779,1780,1780,1780,1780,1780,1781,1781,1781,1781,0
1087,2417,2418,2421,2422,2420,2423,2436,2436,2437,2438,2439,2429,2431,2433,2436,2438,2438,2439,2434,2437,2437,2439,2439,2440,2443,2447,2447,2447,2447,2447,0
1089,52779,52810,52833,52800,52817,52915,52890,52853,52874,52896,52876,52830,52886,52943,52942,52969,52989,52999,53021,53038,53064,53131,53154,53162,53214,53223,53255,53255,53279,53291,1
