state,b1,b2
Alabama,5.582396905,5.8
Alaska,5.544387368,5.646919475
Arizona,5.413283193,5.168837521
Arkansas,4.811038902,5.8
California,5.156077762,5.506473137
Colorado,5.908799463,5.8
Connecticut,6.738574277,5.8
Delaware,3.227094626,5.8
Florida,5.09255891,5.11839132
Georgia,5.155596316,5.799988947
Hawaii,5.812633661,5.799864102
Idaho,5.349530336,5.8
Illinois,5.269106114,5.788309996
Indiana,5.72406813,5.8
Iowa,2.786234114,4.501299216
Kansas,3.195787949,4.808993864
Kentucky,4.913553249,5.8
Louisiana,5.820727526,5.727434674
Maine,5.700254528,5.8
Maryland,5.590102666,5.8
Massachusetts,5.974314192,5.8
Michigan,6.038324667,5.799834377
Minnesota,3.579432966,5.028508454
Mississippi,5.378570104,5.8
Missouri,5.725494757,5.8
Montana,5.049496432,5.421388959
Nebraska,2,4.5
Nevada,5.428929156,5.8
New Hampshire,3.200811434,5.8
New Jersey,5.564815362,5.367943784
New Mexico,4.013786551,5.799945652
New York,3.72018585,4.5
North Carolina,5.031617818,5.8
North Dakota,4.410878694,5.79975485
Ohio,5.456944073,5.8
Oklahoma,5.481143167,5.799975976
Oregon,5.726781454,5.8
Pennsylvania,5.340874902,5.8
Rhode Island,2.747506375,5.8
South Carolina,5.772187954,5.688271914
South Dakota,2.278237569,5.8
Tennessee,5.55334108,5.799999606
Texas,5.054676538,5.42004789
Utah,5.729503508,5.8
Vermont,7,5.8
Virginia,5.515222934,5.799997856
Washington,6.04200577,5.799954679
West Virginia,4.965992455,5.8
Wisconsin,5.938412373,5.8
Wyoming,6.101388461,5.799802904
District of Columbia,4.908027155,5.8
Puerto Rico,5.256689296,5.8
US,2.517951048,4.500005049
