"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days"
6001,"Alameda","California",57,"2020-03-18",3.63758615972639,35.324531595087,0.218139968929129,6.25526578687593,5.27148027604919,5.16456594223029,3.1775340574342
6013,"Contra Costa","California",57,"2020-03-18",3.31678003984957,37.7084881908361,0.23208041837273,6.10174506032233,4.99213756291099,4.94134296845868,2.98666809298286
6037,"Los Angeles","California",57,"2020-03-18",4.47571211875121,34.8729287738355,0.261323845720557,7.61159826739789,6.26057274219218,6.30497903879511,2.65244520127395
6067,"Sacramento","California",57,"2020-03-18",3.33729357968267,37.9618554580847,0.237730390203501,6.19005826212468,5.07989695197596,5.00140631110717,2.91568604235496
6073,"San Diego","California",57,"2020-03-18",3.59535339610311,38.2240499822304,0.260987691699335,6.72720569649513,5.31247537957752,5.42226723799846,2.65586156974203
6075,"San Francisco","California",57,"2020-03-18",3.5305534028762,35.7781859439566,0.217642329685125,6.1422613590977,5.12310465721527,5.05404971067208,3.18479948989132
6081,"San Mateo","California",57,"2020-03-18",3.72397077392521,36.1841379310049,0.235457969833055,6.54946641192186,5.35385401181355,5.37217656275659,2.94382552033131
6085,"Santa Clara","California",57,"2020-03-18",4.74368912012365,30.3404276219399,0.219011208408193,7.37182362102197,6.3238507911225,6.276767578981,3.16489363990932
8031,"Denver","Colorado",57,"2020-03-18",3.30636327899132,39.1070621550613,0.256447624176616,6.38373476911071,5.12955136520389,5.10149664822763,2.70288010187442
8037,"Eagle","Colorado",57,"2020-03-18",3.23587340123677,39.0731709971689,0.250322287123012,6.23974084671292,5.01951277818869,4.98812941109786,2.7690190455128
12011,"Broward","Florida",57,"2020-03-18",3.63381967693091,39.1382774370023,0.282529782393624,7.02417706565439,5.56135218225416,5.61152815368628,2.45335969428612
17031,"Cook","Illinois",57,"2020-03-18",4.34935585238433,36.4211905547388,0.2791840973257,7.69956502029273,6.24080596383807,6.30364453366423,2.48276025461189
22071,"Orleans","Louisiana",57,"2020-03-18",4.44265125649032,35.6996719303637,0.272549806207025,7.71324893097462,6.25064546029924,6.3504998999395,2.54319454563633
25017,"Middlesex","Massachusetts",57,"2020-03-18",4.30983989269805,32.0756001764102,0.216309647008557,6.90555565680073,5.92013191809488,5.82400742175795,3.20442102396166
25021,"Norfolk","Massachusetts",57,"2020-03-18",3.49650756146648,35.654111800092,0.213907468269981,6.06339718070625,5.10288767680585,4.99385983935635,3.24040664015105
25025,"Suffolk","Massachusetts",57,"2020-03-18",3.50941096630239,36.8169378154753,0.231139866494082,6.28308936423138,5.21641476193913,5.12739003176097,2.9988214109213
34003,"Bergen","New Jersey",57,"2020-03-18",3.97029191355212,37.0353353031593,0.265311117488006,7.1540253234082,5.69403168731345,5.82746973596816,2.61258249229334
36059,"Nassau","New York",57,"2020-03-18",4.59367580656236,34.7291234614022,0.265978150923388,7.78541361764302,6.46791315284066,6.45552286302608,2.60603052601715
36103,"Suffolk","New York",57,"2020-03-18",4.04805127825126,37.0721072721599,0.271173658067744,7.30213517506418,5.89680238265813,5.94626688472546,2.55610071235896
36119,"Westchester","New York",57,"2020-03-18",5.55627633754761,31.5142037074752,0.271225792652008,8.81098584937171,7.46454588641621,7.45485688611167,2.55560938280408
42091,"Montgomery","Pennsylvania",57,"2020-03-18",3.24147565678544,39.0857491753858,0.250999899321088,6.2534744486385,5.04569566722174,4.99847495203306,2.76154365971775
53033,"King","Washington",57,"2020-03-18",6.05376843044414,24.785504489156,0.222446468942697,8.72312605775651,7.71673095379202,7.61089371304302,3.11601790693518
53053,"Pierce","Washington",57,"2020-03-18",3.51367536508885,37.3053093536032,0.239111897598907,6.38301813627573,5.24509969096645,5.1874586482812,2.89884019791709
53061,"Snohomish","Washington",57,"2020-03-18",5.25002707742026,29.4934085811118,0.233266200985649,8.04922148924805,6.9178154418118,6.8828904843198,2.97148570016189
99999,"New York City","New York",57,"2020-03-18",6.15697898558556,30.667982392886,0.288626190873397,9.62049327606633,7.9699839091515,8.17736232169934,2.40153943917026
