Vnames,Importance,Importance (%)
cutoff,0.10029268292682927,10.029268292682927
r.lm,0.08398780487804877,8.398780487804878
t0.lm,0.07102439024390245,7.102439024390245
Date_closed_K.12_public_schools,0.06334451219512195,6.334451219512196
SNAP_Waiver_._Emergency_Allotments_to_Current_SNAP_Households,0.05577439024390244,5.577439024390244
Closed_other_non.essential_businesses,0.05216158536585366,5.216158536585366
State_of_emergency_issued,0.0503140243902439,5.03140243902439
Allow.expand_Medicaid_telehealth_coverage,0.04986585365853658,4.986585365853658
Stopped_personal_visitation_in_state_prisons,0.04742682926829268,4.742682926829269
Date_adults_ages_30._became_eligible_for_COVID.19_vaccination,0.04238109756097561,4.238109756097561
Closed_gyms,0.03911890243902439,3.9118902439024392
Closed_restaurants_except_take_out,0.036667682926829266,3.6667682926829266
Closed_Bars,0.030109756097560975,3.0109756097560973
Modify_Medicaid_requirements_with_1135_waivers_.date_of_CMS_approval.,0.02691463414634147,2.691463414634147
Date_general_public_became_eligible_for_COVID.19_vaccination,0.026219512195121954,2.6219512195121952
Date_adults_ages_40._became_eligible_for_COVID.19_vaccination,0.024765243902439026,2.4765243902439025
Closed_movie_theaters,0.015929878048780488,1.5929878048780488
Date_adults_ages_50._became_eligible_for_COVID.19_vaccination,0.014195121951219511,1.4195121951219511
Allow_audio.only_telehealth,0.012518292682926828,1.2518292682926828
metrics.testPositivityRatio,0.011710365853658537,1.1710365853658538
Date_adults_ages_45._became_eligible_for_COVID.19_vaccination,0.011597560975609756,1.1597560975609755
Date_adults_ages_75._became_eligible_for_COVID.19_vaccination,0.010948170731707318,1.0948170731707318
Date_adults_ages_55._became_eligible_for_COVID.19_vaccination,0.010353658536585366,1.0353658536585366
Allowed_restaurants_to_sell_takeout_alcohol,0.00808841463414634,0.808841463414634
Waived_one_week_waiting_period_for_unemployment_insurance,0.00789329268292683,0.7893292682926829
Reopen_bars,0.007551829268292683,0.7551829268292682
Stay_at_home._shelter_in_place,0.007390243902439024,0.7390243902439024
Date_adults_ages_80._became_eligible_for_COVID.19_vaccination,0.006490853658536585,0.6490853658536585
Extended_Benefits_program_activated,0.006414634146341463,0.6414634146341464
Date_adults_ages_65._became_eligible_for_COVID.19_vaccination,0.005820121951219513,0.5820121951219513
Reopen_restaurants,0.00525609756097561,0.525609756097561
Date_adults_ages_60._became_eligible_for_COVID.19_vaccination,0.004890243902439024,0.48902439024390243
Suspended_elective_medical_procedures,0.0046585365853658535,0.46585365853658534
SNAP_Waiver_._Pandemic_EBT_during_school_year_2019.2020,0.004338414634146341,0.4338414634146341
Date_grocery_store_workers_became_eligible_for_COVID.19_vaccination,0.004310975609756097,0.4310975609756097
Reopened_gyms,0.0038689024390243906,0.3868902439024391
First_overall_eviction_moratorium_start,0.0036646341463414636,0.3664634146341464
Reopened_hair_salons.barber_shops,0.002121951219512195,0.21219512195121948
Began_to_reopen_businesses,0.0014878048780487805,0.14878048780487804
Date_incarcerated_people_became_eligible_for_COVID.19_vaccination,0.0014085365853658538,0.14085365853658538
Date_adults_ages_70._became_eligible_for_COVID.19_vaccination,0.001298780487804878,0.12987804878048778
Face_mask_mandate_for_employees_of_public.facing_businesses,0.0011585365853658538,0.11585365853658539
metrics.vaccinationsCompletedRatio,0.0010121951219512195,0.10121951219512196
Reopened_other_non.essential_retail,8.292682926829268e-4,0.08292682926829269
End.relax_stay_at_home.shelter_in_place,8.109756097560975e-4,0.08109756097560976
SNAP_Waiver_._Temporary_Suspension_of_Claims_Collection,7.896341463414635e-4,0.07896341463414634
First_eviction_enforcement_ban_start,7.835365853658537e-4,0.07835365853658537
First_eviction_initiation_ban_start,7.621951219512195e-4,0.07621951219512195
First_eviction_hearing_ban_start,6.310975609756098e-4,0.06310975609756098
Reopened_religious_gatherings,5.914634146341463e-4,0.05914634146341463
Allowed_restaurants_to_deliver_alcohol,5.76219512195122e-4,0.057621951219512205
Resumed_elective_medical_procedures,5.76219512195122e-4,0.057621951219512205
Date_vaccine_allocation_plan_last_updated,5.487804878048781e-4,0.05487804878048781
LAT,5.365853658536586e-4,0.05365853658536586
MP_MOBILE,4.969512195121951e-4,0.049695121951219515
Ended_face_mask_mandate,4.939024390243902e-4,0.04939024390243903
First_overall_eviction_moratorium_end,4.664634146341464e-4,0.04664634146341464
EPL_PCI,4.146341463414634e-4,0.041463414634146344
Reopened_movie_theaters_.x2.,4.146341463414634e-4,0.041463414634146344
Percent_living_under_the_federal_poverty_line_.2018.,4.146341463414634e-4,0.041463414634146344
MP_NOHSDP,4.024390243902439e-4,0.04024390243902439
Extended_Benefits_program_deactivated,3.8414634146341465e-4,0.03841463414634146
EP_MOBILE,3.7499999999999995e-4,0.0375
Date_banned_visitors_to_nursing_homes,3.7499999999999995e-4,0.0375
Face_mask_mandate_in_public_spaces,3.445121951219512e-4,0.03445121951219512
MP_POV,3.323170731707317e-4,0.033231707317073166
EP_PCI,3.323170731707317e-4,0.033231707317073166
log_rolled_cases.y,3.2012195121951215e-4,0.03201219512195121
Closed_day_cares,3.2012195121951215e-4,0.03201219512195121
Closed_movie_theaters_.x2.,3.170731707317073e-4,0.031707317073170725
E_HH,0.00028963414634146346,0.028963414634146346
Reopened_movie_theaters,2.7439024390243905e-4,0.027439024390243906
SPL_THEME1,2.5e-4,0.025
Resumed_visitation_in_state_prisons,2.469512195121951e-4,0.024695121951219513
Population_density_per_square_miles,2.469512195121951e-4,0.024695121951219513
LON,2.347560975609756e-4,0.02347560975609756
Proof_of_residency_requirement_for_vaccination,2.347560975609756e-4,0.02347560975609756
Total_Unemployment_Rate_relative_to_second_prior_year_...,2.347560975609756e-4,0.02347560975609756
Percent_at_risk_for_serious_illness_due_to_COVID,2.347560975609756e-4,0.02347560975609756
E_PCI,2.073170731707317e-4,0.020731707317073172
EPL_MOBILE,2.073170731707317e-4,0.020731707317073172
CARES_Act_pleading_end,1.9512195121951218e-4,0.01951219512195122
Utilities_shutoff_moratorium_start,1.9207317073170733e-4,0.01920731707317073
Stopped_participating_in_pandemic.related_federal_unemployment_benefit_programs,1.9207317073170733e-4,0.01920731707317073
E_UNEMP,1.798780487804878e-4,0.01798780487804878
Cannabis_dispensaries_considered_essential_business,1.798780487804878e-4,0.01798780487804878
Date_K.12_school_employees_became_eligible_for_COVID.19_vaccination,1.798780487804878e-4,0.01798780487804878
Reinstated_work_search_requirement_for_UI,1.798780487804878e-4,0.01798780487804878
Total_Unemployment_Rate_relative_to_prior_year_...,1.646341463414634e-4,0.01646341463414634
Mental_health_professionals_per_100.000_population_in_2019,1.646341463414634e-4,0.01646341463414634
Stopped_legal_visitation_in_state_prisons,1.5243902439024388e-4,0.015243902439024388
Square_Miles,1.5243902439024388e-4,0.015243902439024388
Utilities_shutoff_moratorium_expiration,1.3719512195121953e-4,0.013719512195121953
Population_2018,1.3719512195121953e-4,0.013719512195121953
MP_SNGPNT,1.25e-4,0.0125
State_of_emergency_lifted,1.25e-4,0.0125
Vaccine_allocation_phase._People_who_are_Incarcerated,1.25e-4,0.0125
E_DISABL,1.0975609756097561e-4,0.010975609756097562
MP_CROWD,1.0975609756097561e-4,0.010975609756097562
Closed_bars_.x2.,1.0975609756097561e-4,0.010975609756097562
SNAP_Waiver_._Pandemic_EBT_during_school_year_2020.2021,1.0975609756097561e-4,0.010975609756097562
Report_Indigenous_COVID.19_deaths,1.0975609756097561e-4,0.010975609756097562
Weekly_unemployment_insurance_maximum_amount_with_extra_stimulus_.through_July_31._2020._.dollars.,1.0975609756097561e-4,0.010975609756097562
X2021_unemployment_insurance_maximum_duration_.weeks.,1.0975609756097561e-4,0.010975609756097562
Minimum_total_earnings_required_in_the_base_period_to_qualify_for_UI,1.0975609756097561e-4,0.010975609756097562
metrics.vaccinationsInitiatedRatio,1.0975609756097561e-4,0.010975609756097562
EPL_NOHSDP,9.756097560975609e-5,0.00975609756097561
Initially_reopen_restaurants_for_outdoor_dining_only,9.756097560975609e-5,0.00975609756097561
Oct_1_2019_Minimum_Wage,9.756097560975609e-5,0.00975609756097561
X2020_Minimum_Wage_for_Tipped_Workers,9.756097560975609e-5,0.00975609756097561
E_SNGPNT,8.23170731707317e-5,0.00823170731707317
MP_UNEMP,8.23170731707317e-5,0.00823170731707317
MP_UNINSUR,8.23170731707317e-5,0.00823170731707317
Mandate_quarantine_for_those_entering_the_state_from_specific_settings,8.23170731707317e-5,0.00823170731707317
Vaccine_allocation_phase._Pre.K.12_School_Employees,8.23170731707317e-5,0.00823170731707317
Vaccine_allocation_phase._Frontline_Essential_Workers,8.23170731707317e-5,0.00823170731707317
Vaccine_allocation_phase._General_Public,8.23170731707317e-5,0.00823170731707317
X2020_Q1_SNAP_ABAWD_Time_Limit_Waiver,8.23170731707317e-5,0.00823170731707317
Weekly_unemployment_insurance_maximum_amount_.dollars.,8.23170731707317e-5,0.00823170731707317
Total_Unemployment_Rate_at_Extended_Benefits_program_shutoff,8.23170731707317e-5,0.00823170731707317
Average_Benefit_Amount_.August.,8.23170731707317e-5,0.00823170731707317
EP_MINRTY,5.4878048780487806e-5,0.005487804878048781
RPL_THEME1,5.4878048780487806e-5,0.005487804878048781
EPL_DISABL,5.4878048780487806e-5,0.005487804878048781
EPL_MINRTY,5.4878048780487806e-5,0.005487804878048781
SPL_THEMES,5.4878048780487806e-5,0.005487804878048781
Attempted_to_prevent_local_governments_from_implementing_face_mask_orders,5.4878048780487806e-5,0.005487804878048781
Began_to_reclose_bars,5.4878048780487806e-5,0.005487804878048781
Reopened_restaurants_.x2.,5.4878048780487806e-5,0.005487804878048781
Reopened_bars_.x2.,5.4878048780487806e-5,0.005487804878048781
Date_all_mandated_quarantines_ended,5.4878048780487806e-5,0.005487804878048781
COVID.19_hardship_limitation_start,5.4878048780487806e-5,0.005487804878048781
Utilities_reconnection_end,5.4878048780487806e-5,0.005487804878048781
July_2020_unemployment_insurance_maximum_duration_.weeks.,5.4878048780487806e-5,0.005487804878048781
X20.week_Extended_Benefits_program_activated,5.4878048780487806e-5,0.005487804878048781
Minimum_total_earnings_required_outside_the_highest_earning_calendar_quarter_of_the_base_period_to_qualify_for_UI,5.4878048780487806e-5,0.005487804878048781
Earnings_in_base_period_required_to_receive_a_.300_weekly_benefit_amount_for_UI,5.4878048780487806e-5,0.005487804878048781
Taxable_Wage_Amount,5.4878048780487806e-5,0.005487804878048781
Air_or_ventilation_standards,5.4878048780487806e-5,0.005487804878048781
Automatic_mail.in_ballot_system_in_response_to_COVID.19_.0.1.2_2_being_conditional._see_notes_for_details.,5.4878048780487806e-5,0.005487804878048781
fips,2.7439024390243903e-5,0.0027439024390243905
E_HU,2.7439024390243903e-5,0.0027439024390243905
E_AGE65,2.7439024390243903e-5,0.0027439024390243905
E_AGE17,2.7439024390243903e-5,0.0027439024390243905
E_MUNIT,2.7439024390243903e-5,0.0027439024390243905
E_MOBILE,2.7439024390243903e-5,0.0027439024390243905
E_CROWD,2.7439024390243903e-5,0.0027439024390243905
E_NOVEH,2.7439024390243903e-5,0.0027439024390243905
EP_DISABL,2.7439024390243903e-5,0.0027439024390243905
SPL_THEME2,2.7439024390243903e-5,0.0027439024390243905
RPL_THEMES,2.7439024390243903e-5,0.0027439024390243905
